"id","source","source_id","job_title_raw","original_raw_text","current_gold_title","review_gold_title","current_gold_skills","review_gold_skills","current_gold_bonus_skills","review_gold_bonus_skills","current_gold_experience","review_gold_experience","current_gold_education","review_gold_education","current_gold_core_duties","review_gold_core_duties","error_type","review_status","review_note"
"jd_012","zhilian","CCL1480117890J40845576605","全栈工程师（java，go，python，js，re）","岗位名称：全栈工程师（java，go，python，js，re）
公司：外企德科数字技术有限公司
工作地点：北京·朝阳
薪资：2-3.5万·18薪
经验要求：经验不限
学历要求：本科
技能标签：前端开发, 后端开发, JavaScript, react, Java, GoLang, Python","全栈工程师","","[""JavaScript"",""React"",""Java"",""GoLang"",""Python""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责前后端全栈开发"",""参与产品全生命周期技术支持""]","","","",""
"jd_013","zhilian","CCL1516918430J40789275606","急招运维+java","岗位名称：急招运维+java
公司：陕西鑫泽源慧企业管理有限公司
工作地点：北京·朝阳
薪资：1-1.5万·13薪
经验要求：经验不限
学历要求：大专
技能标签：服务器运维, 系统运维, IDC/机房运维","急招运维+java","","[""服务器运维"",""系统运维"",""IDC/机房运维""]","","[]","","{""min_years"":0,""max_years"":null}","","大专","","[""负责系统部署与运维自动化"",""参与监控体系建设与故障响应""]","","","",""
"jd_015","zhilian","CC192921310J40831468409","数据平台前端开发工程师","岗位名称：数据平台前端开发工程师
公司：京东集团
工作地点：北京·通州·台湖
薪资：3-6万·19薪
经验要求：经验不限
学历要求：本科
技能标签：数据平台, Vue, React, Angular","数据平台前端开发工程师","","[""数据平台"",""Vue"",""React"",""Angular""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责 Web 前端页面开发与交互实现"",""与后端协作完成 API 对接与数据展示""]","","","",""
"jd_021","zhilian","CC303218880J40962177002","水声算法工程师","岗位名称：水声算法工程师
公司：博雅工道
工作地点：北京·通州·台湖
薪资：1.5-2.5万
经验要求：经验不限
学历要求：硕士
技能标签：海洋水声工程, 海洋测绘工程, 海工结构设计, 海洋水动力工程","水声算法工程师","","[""海洋水声工程"",""海洋测绘工程"",""海工结构设计"",""海洋水动力工程""]","","[]","","{""min_years"":0,""max_years"":null}","","硕士","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
"jd_025","zhilian","CC258760917J90250298000","文员（数据分析）","岗位名称：文员（数据分析）
公司：上海保安
工作地点：上海·普陀·万里
薪资：5000-7000元
经验要求：经验不限
学历要求：大专
技能标签：电脑操作","文员","","[""电脑操作""]","","[]","","{""min_years"":0,""max_years"":null}","","大专","","[""负责数据管道设计与开发"",""参与数据建模与数据质量治理""]","","","",""
"jd_030","zhilian","CC138117190J40879068905","大模型评测工程师（音视频/AIGC/多模态）","岗位名称：大模型评测工程师（音视频/AIGC/多模态）
公司：外企德科
工作地点：北京·海淀·上地
薪资：1-1.2万
经验要求：经验不限
学历要求：大专
技能标签：音频标注, 视频标注, 大模型评测, AIGC, 多模态模型, 音视频模型","大模型评测工程师","","[""音频标注"",""视频标注"",""大模型评测"",""AIGC"",""多模态模型"",""音视频模型""]","","[]","","{""min_years"":0,""max_years"":null}","","大专","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
"jd_036","zhilian","CC000544460J40670242116","python自动化测试工程师","岗位名称：python自动化测试工程师
公司：软通动力信息技术(集团)股份有限公司
工作地点：上海·浦东·金桥
薪资：1-1.3万
经验要求：1-3年
学历要求：本科
技能标签：Python, 自动化测试","python自动化测试工程师","","[""Python"",""自动化测试""]","","[]","","{""min_years"":1,""max_years"":3}","","本科","","[""负责测试用例设计与自动化测试脚本开发"",""参与缺陷跟踪与质量保障""]","","","",""
"jd_053","zhilian","CC385622410J40787862106","全栈开发工程师（全额五险一金）","岗位名称：全栈开发工程师（全额五险一金）
公司：深圳市法本信息技术股份有限公司
工作地点：北京·朝阳·建外
薪资：1.6-1.9万
经验要求：5-10年
学历要求：大专
技能标签：前端开发, 后端开发, JavaScript, Vue, 催收, 呼叫中心","全栈开发工程师","","[""JavaScript"",""Vue"",""催收"",""呼叫中心""]","","[]","","{""min_years"":5,""max_years"":10}","","大专","","[""负责前后端全栈开发"",""参与产品全生命周期技术支持""]","","","",""
"jd_084","zhilian","CCL1480117890J40603130605","Java/Python/C/C++/数开/测试/算法/前端岗","岗位名称：Java/Python/C/C++/数开/测试/算法/前端岗
公司：外企德科数字技术有限公司
工作地点：上海·浦东·金桥
薪资：1.5-3万·14薪
经验要求：经验不限
学历要求：本科
技能标签：Python, C++, C, Java, 通信/物联网/自动化, 嵌入式","软件开发工程师","","[""Python"",""C++"",""Java""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
"jd_091","zhilian","CC135794170J41002479902","英语高级Python 全栈工程师（AI 原生/RAG）","岗位名称：英语高级Python 全栈工程师（AI 原生/RAG）
公司：大连弗斯特高新人才发展管理有限公司
工作地点：上海·浦东·张江
薪资：3-3.5万·13薪
经验要求：10年以上
学历要求：大专
技能标签：Python, 英语流利, AGENT","英语高级Python 全栈工程师","","[""Python"",""英语流利"",""AGENT""]","","[]","","{""min_years"":10,""max_years"":null}","","大专","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
